,정전피해_지역,피해_가구수,시작시간,종료시간
82,경상남도 의령군,2000,2021.07.22 14:26 , 2021.07.22 14:40
83,경상남도 함양군,2000,2021.07.22 14:26 , 2021.07.22 14:19
84,경상남도 산청군,2000,2021.07.22 14:25 , 2021.07.22 14:36
85,충청북도 보은군,2000,2021.07.22 14:25 , 2021.07.22 14:38
86,경기도 가평군,1000,2021.07.22 14:25 , 2021.07.22 14:37
87,전라남도 강진군,2010,2021.07.22 14:24 , 2021.07.22 14:40
88,전라남도 영광군,2000,2021.07.22 14:24 , 2021.07.22 14:40
89,울산광역시 북구,2000,2021.07.22 14:24 , 2021.07.22 14:24
90,울산광역시 북구,2000,2021.07.22 14:23 , 2021.07.22 14:35
91,울산광역시 울주군,2000,2021.07.22 14:23 , 2021.07.22 14:38
92,전라남도 신안군,1000,2021.07.22 14:23 , 2021.07.22 14:22
93,경상남도 산청군,2000,2021.07.22 14:23 , 2021.07.22 14:38
94,전라남도 고흥군,2000,2021.07.22 14:23 , 2021.07.22 14:38
95,전라남도 순천시,2000,2021.07.22 14:23 , 2021.07.22 14:22
96,전라남도 광양시,2000,2021.07.22 14:23 , 2021.07.22 14:38
97,전라남도 여수시,2000,2021.07.22 14:23 , 2021.07.22 14:22
98,전라남도 목포시,2000,2021.07.22 14:22 , 2021.07.22 14:38
99,전라남도 무안군,1200,2021.07.22 14:22 , 2021.07.22 14:23
100,전라남도 화순군,2000,2021.07.22 14:22 , 2021.07.22 14:22
101,경상남도 김해시,2000,2021.07.22 14:22 , 2021.07.22 14:35
102,전라남도 진도군,2000,2021.07.22 14:22 , 2021.07.22 14:22
103,경상남도 남해군,2000,2021.07.22 14:22 , 2021.07.22 14:36
104,광주광역시 남구,2060,2021.07.22 14:22 , 2021.07.22 14:40
105,인천광역시 서구,2000,2021.07.22 14:22 , 2021.07.22 14:38
106,울산광역시 울주군,2000,2021.07.22 14:22 , 2021.07.22 14:22
107,부산광역시 북구,2000,2021.07.22 14:22 , 2021.07.22 14:36
108,부산광역시 기장군,2000,2021.07.22 14:22 , 2021.07.22 14:42
109,부산광역시 동래구,2000,2021.07.22 14:22 , 2021.07.22 14:37
110,부산광역시 기장군,2000,2021.07.22 14:22 , 2021.07.22 14:36
111,부산광역시 북구,2000,2021.07.22 14:22 , 2021.07.22 14:37
112,광주광역시 광산구,2,2021.07.22 14:22 , 2021.07.22 14:21
113,부산광역시 영도구,2000,2021.07.22 14:22 , 2021.07.22 14:37
114,부산광역시 사하구,2000,2021.07.22 14:22 , 2021.07.22 14:36
115,제주특별자치도 서귀포시,2000,2021.07.22 14:22 , 2021.07.22 14:21
116,강원도 화천군,2000,2021.07.22 14:22 , 2021.07.22 14:39
117,제주특별자치도 제주시,2000,2021.07.22 14:21 , 2021.07.22 14:21
118,대구광역시 동구,2000,2021.07.22 14:21 , 2021.07.22 14:49
119,대구광역시 수성구,2000,2021.07.22 14:21 , 2021.07.22 14:20
120,경상북도 경주시,2000,2021.07.22 14:21 , 2021.07.22 14:21
121,경기도 포천시,2000,2021.07.22 14:21 , 2021.07.22 14:37
122,전라남도 여수시,2000,2021.07.22 14:21 , 2021.07.22 14:21
123,강원도 춘천시,2000,2021.07.22 14:20 , 2021.07.22 14:37
124,충청북도 영동군,2000,2021.07.22 14:20 , 2021.07.22 14:36
125,충청북도 진천군,20000,2021.07.22 14:20 , 2021.07.22 14:38
126,충청북도 진천군,1000,2021.07.22 14:20 , 2021.07.22 10:20
127,충청북도 충주시,2000,2021.07.22 14:20 , 2021.07.22 14:41
128,경상북도 군위군,2000,2021.07.22 14:20 , 2021.07.22 14:19
129,경상북도 경산시,2000,2021.07.22 14:20 , 2021.07.22 14:22
