,공급능력(MW),현재수요(MW),공급예비력(MW),공급예비율(퍼센트),일시,지점명,기온(°C),강수량(mm),풍속(m/s),습도(%)
61417,98670.0,74059.8,24610.20833,33.24989167,2018-01-03 07:00:00,서울,-6.9,0,2.4,48.0
61418,98820.0,79124.175,19695.825,24.967525,2018-01-03 08:00:00,서울,-7.0,0,1.5,49.0
61419,98820.83333,81475.34167,17345.49167,21.29025833,2018-01-03 09:00:00,서울,-6.8,0,1.7,44.0
61420,98830.0,81298.975,17531.025,21.564225,2018-01-03 10:00:00,서울,-5.6,0,2.9,38.0
61421,98830.0,80018.825,18811.175,23.52183333,2018-01-03 11:00:00,서울,-4.5,0,3.2,36.0
61422,98830.0,75137.89167,23692.10833,31.54189167,2018-01-03 12:00:00,서울,-3.4,0,3.1,32.0
61423,98830.0,77213.25833,21616.74167,28.01165833,2018-01-03 13:00:00,서울,-2.2,0,2.3,31.0
61424,98830.0,78495.26667,20334.74167,25.90631667,2018-01-03 14:00:00,서울,-1.5,0,2.8,30.0
61425,98830.0,78606.96667,20223.03333,25.72911667,2018-01-03 15:00:00,서울,-1.1,0,2.8,29.0
61426,98830.0,79963.775,18866.225,23.59711667,2018-01-03 16:00:00,서울,-0.4,0,2.0,30.0
61427,98830.0,80135.03333,18694.96667,23.32960833,2018-01-03 17:00:00,서울,-1.9,0,1.8,35.0
61428,98830.0,78545.78333,20284.21667,25.83424167,2018-01-03 18:00:00,서울,-3.1,0,2.1,39.0
61429,98830.0,76203.44167,22626.55833,29.69960833,2018-01-03 19:00:00,서울,-3.7,0,2.0,41.0
61430,98413.33333,73989.48333,24423.84167,33.01715833,2018-01-03 20:00:00,서울,-3.9,0,2.5,44.0
61431,98330.0,71958.825,26371.175,36.652,2018-01-03 21:00:00,서울,-4.3,0,2.8,47.0
61432,98330.0,71234.475,27095.525,38.0393,2018-01-03 22:00:00,서울,-5.2,0,1.3,53.0
61433,98330.0,72479.81667,25850.18333,35.6778,2018-01-03 23:00:00,서울,-5.9,0,0.8,54.0
61434,98436.33333,68890.1,29546.24167,42.9255,2018-01-04 00:00:00,서울,-6.3,0,1.4,54.0
61435,98446.0,66805.16667,31640.83333,47.36848333,2018-01-04 01:00:00,서울,-6.9,0,2.3,56.0
61436,98446.0,66295.45,32150.55,48.49718333,2018-01-04 02:00:00,서울,-7.3,0,2.0,57.0
61437,98368.5,66382.8,31985.70833,48.18749167,2018-01-04 03:00:00,서울,-7.4,0,1.7,54.0
61438,98136.0,67092.60833,31043.39167,46.27200833,2018-01-04 04:00:00,서울,-7.5,0,1.3,55.0
61439,98136.0,68391.89167,29744.11667,43.50018333,2018-01-04 05:00:00,서울,-7.6,0,1.3,49.0
61440,98061.0,71570.45,26490.55,37.048675,2018-01-04 06:00:00,서울,-7.6,0,2.3,47.0
61441,97956.0,74456.875,23499.125,31.571475,2018-01-04 07:00:00,서울,-8.1,0,0.5,51.0
61442,98111.0,80871.80833,17239.19167,21.40749167,2018-01-04 08:00:00,서울,-8.6,0,0.6,55.0
61443,98111.0,83662.91667,14448.08333,17.27016667,2018-01-04 09:00:00,서울,-7.9,0,1.2,48.0
61444,98111.0,83935.59167,14175.40833,16.888875,2018-01-04 10:00:00,서울,-6.4,0,1.0,43.0
61445,98111.0,82386.10833,15724.89167,19.11071667,2018-01-04 11:00:00,서울,-4.4,0,0.8,40.0
61446,98111.0,76977.64167,21133.35833,27.46905833,2018-01-04 12:00:00,서울,-2.9,0,0.9,33.0
61447,98111.0,79362.91667,18748.08333,23.64939167,2018-01-04 13:00:00,서울,-2.0,0,1.0,32.0
61448,98111.0,80850.7,17260.29167,21.34859167,2018-01-04 14:00:00,서울,-0.8,0,1.4,32.0
61449,98152.66667,81086.325,17066.34167,21.050325,2018-01-04 15:00:00,서울,-1.2,0,0.8,31.0
61450,98611.0,82257.33333,16353.66667,19.88245,2018-01-04 16:00:00,서울,-1.4,0,1.8,34.0
61451,98611.0,81728.05,16882.95,20.65788333,2018-01-04 17:00:00,서울,-2.1,0,1.4,37.0
61452,98611.0,79715.05833,18895.94167,23.71529167,2018-01-04 18:00:00,서울,-2.6,0,1.4,38.0
61453,98611.0,76987.00833,21624.0,28.10333333,2018-01-04 19:00:00,서울,-2.7,0,1.4,39.0
61454,98611.0,74039.15833,24571.84167,33.203025,2018-01-04 20:00:00,서울,-2.8,0,1.7,39.0
61455,98611.0,71664.74167,26946.25833,37.60618333,2018-01-04 21:00:00,서울,-3.1,0,2.0,41.0
61456,98611.0,71095.43333,27515.56667,38.70525833,2018-01-04 22:00:00,서울,-3.6,0,1.3,46.0
61457,98611.0,72314.68333,26296.31667,36.376025,2018-01-04 23:00:00,서울,-4.0,0,1.5,48.0
61458,98430.41667,68837.45,29592.96667,43.02631667,2018-01-05 00:00:00,서울,-4.7,0,1.8,52.0
61459,98414.0,66892.24167,31521.75,47.1242,2018-01-05 01:00:00,서울,-5.1,0,1.5,51.0
61460,98519.0,66747.325,31771.675,47.60163333,2018-01-05 02:00:00,서울,-5.3,0,1.6,52.0
61461,98594.0,66512.55,32081.45,48.23441667,2018-01-05 03:00:00,서울,-5.5,0,1.1,56.0
61462,98594.0,66846.03333,31747.975,47.49573333,2018-01-05 04:00:00,서울,-5.1,0,1.7,55.0
61463,98594.0,68063.86667,30530.13333,44.86425,2018-01-05 05:00:00,서울,-5.1,0,1.5,55.0
61464,98594.0,70748.825,27845.175,39.36956667,2018-01-05 06:00:00,서울,-5.1,0,1.3,54.0
61465,98684.75,73315.25,25369.5,34.62025,2018-01-05 07:00:00,서울,-5.3,0,1.1,53.0
61466,98763.0,79517.15,19245.85,24.29679167,2018-01-05 08:00:00,서울,-5.3,0,1.0,51.0
61467,98798.0,82457.925,16340.075,19.81711667,2018-01-05 09:00:00,서울,-4.7,0,1.2,49.0
61468,98440.5,81877.24167,16563.25833,20.23103333,2018-01-05 10:00:00,서울,-3.3,0,1.3,50.0
61469,97584.83333,80077.7,17507.13333,21.883675,2018-01-05 11:00:00,서울,-0.7,0,1.5,45.0
61470,97510.0,75284.00833,22225.99167,29.52935833,2018-01-05 12:00:00,서울,-0.3,0,2.2,45.0
61471,97510.0,76599.725,20910.275,27.30923333,2018-01-05 13:00:00,서울,0.9,0,2.0,43.0
61472,97510.0,77492.26667,20017.73333,25.83215833,2018-01-05 14:00:00,서울,1.4,0,2.0,41.0
61473,97510.0,77717.26667,19792.73333,25.47059167,2018-01-05 15:00:00,서울,1.5,0,2.8,34.0
61474,97510.0,79219.875,18290.11667,23.0893,2018-01-05 16:00:00,서울,1.0,0,2.9,34.0
61475,97510.0,79100.525,18409.475,23.27381667,2018-01-05 17:00:00,서울,-0.6,0,3.3,45.0
61476,97510.0,77454.94167,20055.06667,25.90038333,2018-01-05 18:00:00,서울,-1.8,0,2.2,44.0
61477,97510.0,74917.35833,22592.64167,30.1704,2018-01-05 19:00:00,서울,-2.5,0,0.6,49.0
61478,97510.0,72515.39167,24994.60833,34.477975,2018-01-05 20:00:00,서울,-3.4,0,1.1,51.0
61479,97510.0,70409.63333,27100.36667,38.495125,2018-01-05 21:00:00,서울,-3.5,0,0.9,53.0
61480,97510.0,69840.84167,27669.15833,39.62,2018-01-05 22:00:00,서울,-3.8,0,1.3,53.0
61481,97510.0,71387.9,26122.1,36.60200833,2018-01-05 23:00:00,서울,-3.6,0,1.9,50.0
61482,97510.0,68265.43333,29244.56667,42.864775,2018-01-06 00:00:00,서울,-4.3,0,1.6,52.0
61483,97510.0,65954.66667,31555.33333,47.85785,2018-01-06 01:00:00,서울,-4.8,0,1.2,54.0
61484,97085.83333,64618.2,32467.63333,50.24633333,2018-01-06 02:00:00,서울,-5.5,0,1.4,56.0
61485,94965.0,64387.54167,30577.45833,47.490375,2018-01-06 03:00:00,서울,-5.6,0,1.0,56.0
61486,94965.0,64107.74167,30857.25833,48.13455,2018-01-06 04:00:00,서울,-5.9,0,1.1,61.0
61487,94965.0,64755.78333,30209.21667,46.65223333,2018-01-06 05:00:00,서울,-6.1,0,1.0,64.0
61488,95768.83333,65291.825,30477.00833,46.67755833,2018-01-06 06:00:00,서울,-6.5,0,0.7,67.0
61489,96343.0,66048.4,30294.6,45.8693,2018-01-06 07:00:00,서울,-6.6,0,1.0,65.0
61490,96164.0,68139.49167,28024.50833,41.13893333,2018-01-06 08:00:00,서울,-6.5,0,1.1,62.0
61491,94963.0,68142.15,26820.85,39.36125833,2018-01-06 09:00:00,서울,-5.8,0,1.4,49.0
61492,94963.0,68412.19167,26550.80833,38.81100833,2018-01-06 10:00:00,서울,-3.5,0,2.0,39.0
61493,94963.0,67597.60833,27365.39167,40.498575,2018-01-06 11:00:00,서울,-1.6,0,2.1,35.0
61494,94963.0,64045.73333,30917.26667,48.290775,2018-01-06 12:00:00,서울,0.0,0,2.3,35.0
61495,94882.33333,64430.75833,30451.575,47.26829167,2018-01-06 13:00:00,서울,0.9,0,2.4,28.0
61496,94454.0,64500.25833,29953.74167,46.44025,2018-01-06 14:00:00,서울,1.8,0,2.0,29.0
61497,94454.0,64247.40833,30206.59167,47.01788333,2018-01-06 15:00:00,서울,2.3,0,2.2,27.0
61498,94686.5,64950.29167,29736.20833,45.78508333,2018-01-06 16:00:00,서울,2.7,0,2.2,27.0
61499,94955.25,65751.18333,29204.05833,44.42799167,2018-01-06 17:00:00,서울,1.1,0,1.7,31.0
61500,95302.0,66556.71667,28745.28333,43.19015,2018-01-06 18:00:00,서울,-0.6,0,1.6,37.0
61501,95302.0,65979.575,29322.425,44.44269167,2018-01-06 19:00:00,서울,-1.2,0,1.2,37.0
61502,95302.0,65235.44167,30066.56667,46.0924,2018-01-06 20:00:00,서울,-2.1,0,1.1,41.0
61503,95302.0,64572.50833,30729.49167,47.590825,2018-01-06 21:00:00,서울,-2.5,0,0.8,47.0
61504,95302.0,65196.23333,30105.76667,46.17910833,2018-01-06 22:00:00,서울,-2.6,0,1.6,47.0
61505,95302.0,67173.89167,28128.10833,41.8811,2018-01-06 23:00:00,서울,-3.2,0,0.8,50.0
61506,95302.0,64490.325,30811.675,47.80810833,2018-01-07 00:00:00,서울,-3.8,0,0.7,48.0
61507,95302.0,62320.14167,32981.85833,52.93286667,2018-01-07 01:00:00,서울,-3.9,0,0.2,51.0
61508,95302.0,61866.25,33435.75,54.04794167,2018-01-07 02:00:00,서울,-4.4,0,0.3,53.0
61509,95302.0,62147.375,33154.625,53.34889167,2018-01-07 03:00:00,서울,-4.8,0,0.6,56.0
61510,94929.5,61419.025,33510.475,54.56120833,2018-01-07 04:00:00,서울,-5.1,0,0.7,60.0
61511,94408.0,60610.975,33797.025,55.76310833,2018-01-07 05:00:00,서울,-5.6,0,0.7,58.0
61512,94408.0,60642.26667,33765.73333,55.68121667,2018-01-07 06:00:00,서울,-5.5,0,0.7,52.0
61513,94099.33333,60152.34167,33946.99167,56.43811667,2018-01-07 07:00:00,서울,-5.6,0,0.9,58.0
61514,93482.0,60116.21667,33365.78333,55.503925,2018-01-07 08:00:00,서울,-5.3,0,1.1,53.0
61515,93482.0,60031.2,33450.8,55.72491667,2018-01-07 09:00:00,서울,-3.8,0,1.6,49.0
61516,93482.0,61078.0,32404.0,53.05463333,2018-01-07 10:00:00,서울,-1.8,0,1.8,40.0
61517,93482.0,61026.86667,32455.13333,53.18281667,2018-01-07 11:00:00,서울,0.5,0,1.4,35.0
61518,93482.0,60741.63333,32740.36667,53.90165833,2018-01-07 12:00:00,서울,1.1,0,0.9,34.0
61519,93482.0,60664.15,32817.85,54.09975833,2018-01-07 13:00:00,서울,1.4,0,0.8,34.0
61520,93189.5,60394.875,32794.625,54.302975,2018-01-07 14:00:00,서울,1.9,0,0.7,32.0
61521,92780.0,61166.73333,31613.26667,51.68856667,2018-01-07 15:00:00,서울,2.7,0,0.9,31.0
61522,92780.0,62282.74167,30497.25,48.96705833,2018-01-07 16:00:00,서울,2.6,0,1.0,32.0
61523,93198.33333,62992.03333,30206.3,47.96959167,2018-01-07 17:00:00,서울,2.3,0,0.2,33.0
61524,93282.0,64295.30833,28986.68333,45.0847,2018-01-07 18:00:00,서울,1.8,0,1.2,34.0
61525,93282.0,63805.725,29476.275,46.19789167,2018-01-07 19:00:00,서울,1.6,0,1.0,35.0
61526,93282.0,63128.95833,30153.04167,47.76756667,2018-01-07 20:00:00,서울,1.3,0,0.4,38.0
61527,93282.0,62632.4,30649.59167,48.937,2018-01-07 21:00:00,서울,1.2,0,0.6,39.0
61528,93282.0,63352.88333,29929.11667,47.24244167,2018-01-07 22:00:00,서울,1.1,0,0.5,40.0
61529,93282.0,64251.64167,29030.35833,45.19548333,2018-01-07 23:00:00,서울,1.1,0,0.6,39.0
61530,93282.0,61407.65,31874.35,51.92634167,2018-01-08 00:00:00,서울,0.9,0,1.1,42.0
61531,93282.0,60320.65833,32961.34167,54.64385,2018-01-08 01:00:00,서울,0.9,0,0.2,42.0
61532,93282.0,60134.9,33147.1,55.12335,2018-01-08 02:00:00,서울,0.8,0,0.5,42.0
61533,93282.0,59979.2,33302.8,55.52765,2018-01-08 03:00:00,서울,0.9,0,0.4,43.0
61534,97411.33333,61060.54167,36350.79167,59.53230833,2018-01-08 04:00:00,서울,1.0,0,0.8,43.0
61535,97999.33333,62629.25,35370.08333,56.482675,2018-01-08 05:00:00,서울,0.8,0,1.0,42.0
61536,98246.0,64945.05833,33300.94167,51.28814167,2018-01-08 06:00:00,서울,0.8,0.0,0.7,45.0
61537,98246.0,67752.03333,30493.96667,45.10805,2018-01-08 07:00:00,서울,0.7,0,0.8,44.0
61538,98246.0,77040.8,21205.2,27.69069167,2018-01-08 08:00:00,서울,0.7,0,0.7,45.0
61539,98246.0,81684.59167,16561.41667,20.28283333,2018-01-08 09:00:00,서울,0.8,0,0.9,47.0
61540,98246.0,82913.90833,15332.1,18.49289167,2018-01-08 10:00:00,서울,1.3,0,0.8,43.0
61541,98246.0,82222.46667,16023.54167,19.49881667,2018-01-08 11:00:00,서울,1.7,0,0.6,37.0
61542,98246.0,78050.91667,20195.08333,25.88694167,2018-01-08 12:00:00,서울,2.7,0,2.7,33.0
61543,98246.0,79850.76667,18395.23333,23.048225,2018-01-08 13:00:00,서울,3.0,0,1.6,32.0
61544,98246.0,80731.99167,17514.00833,21.69468333,2018-01-08 14:00:00,서울,3.4,0,1.4,31.0
61545,98246.0,80210.825,18035.175,22.4865,2018-01-08 15:00:00,서울,3.9,0,1.8,33.0
61546,98246.0,80919.86667,17326.13333,21.41251667,2018-01-08 16:00:00,서울,3.5,0,1.7,36.0
61547,98246.0,80106.81667,18139.18333,22.6452,2018-01-08 17:00:00,서울,2.7,0,2.8,50.0
61548,98246.0,77876.56667,20369.425,26.17081667,2018-01-08 18:00:00,서울,1.5,0.0,2.5,70.0
61549,98246.0,75041.85833,23204.14167,30.93496667,2018-01-08 19:00:00,서울,0.9,0,1.6,88.0
61550,98246.0,72548.14167,25697.85833,35.43515833,2018-01-08 20:00:00,서울,1.0,0,1.9,89.0
61551,98246.0,70264.225,27981.775,39.82831667,2018-01-08 21:00:00,서울,0.7,0.9,6.7,77.0
61552,98246.0,69824.90833,28421.09167,40.70529167,2018-01-08 22:00:00,서울,0.1,0,4.6,68.0
61553,98246.0,71254.775,26991.21667,37.89475833,2018-01-08 23:00:00,서울,-0.6,0,4.2,62.0
61554,98246.0,67948.15,30297.85,44.61925,2018-01-09 00:00:00,서울,-1.2,0.0,4.6,67.0
61555,98246.0,65996.61667,32249.38333,48.86746667,2018-01-09 01:00:00,서울,-1.9,0,5.0,69.0
61556,98246.0,65720.58333,32525.41667,49.49161667,2018-01-09 02:00:00,서울,-2.9,0,3.3,66.0
61557,98246.0,65751.44167,32494.56667,49.42129167,2018-01-09 03:00:00,서울,-3.4,0.0,3.2,67.0
61558,98606.0,66281.175,32324.825,48.77190833,2018-01-09 04:00:00,서울,-4.3,0,4.4,59.0
61559,98786.0,67756.66667,31029.33333,45.80425833,2018-01-09 05:00:00,서울,-5.1,0,3.2,48.0
61560,98786.0,70334.925,28451.075,40.46898333,2018-01-09 06:00:00,서울,-5.6,0,3.7,52.0
61561,98786.0,73189.85833,25596.14167,34.98676667,2018-01-09 07:00:00,서울,-5.9,0,3.1,57.0
61562,98786.0,79618.15833,19167.84167,24.1745,2018-01-09 08:00:00,서울,-6.0,0,3.2,64.0
61563,98786.0,83380.3,15405.7,18.483625,2018-01-09 09:00:00,서울,-6.0,0,2.5,61.0
61564,98786.0,84052.05833,14733.95,17.530325,2018-01-09 10:00:00,서울,-4.8,0,3.0,57.0
61565,98786.0,82897.86667,15888.13333,19.17959167,2018-01-09 11:00:00,서울,-3.9,0,4.5,51.0
61566,98786.0,78367.38333,20418.60833,26.06320833,2018-01-09 12:00:00,서울,-2.7,0,2.4,45.0
61567,98786.0,79980.775,18805.225,23.52774167,2018-01-09 13:00:00,서울,-2.6,0,4.0,45.0
61568,98786.0,80986.025,17799.975,21.979575,2018-01-09 14:00:00,서울,-1.8,0,3.7,45.0
61569,98869.33333,80767.1,18102.24167,22.41428333,2018-01-09 15:00:00,서울,-2.4,0.0,4.6,51.0
61570,98986.0,81811.3,17174.69167,20.99345833,2018-01-09 16:00:00,서울,-2.4,0,3.3,56.0
61571,98986.0,81596.53333,17389.475,21.31171667,2018-01-09 17:00:00,서울,-2.9,0,3.6,66.0
61572,98986.0,80040.275,18945.725,23.67999167,2018-01-09 18:00:00,서울,-3.8,0.0,1.7,58.0
61573,98986.0,77514.26667,21471.73333,27.71305833,2018-01-09 19:00:00,서울,-4.5,0,0.6,57.0
61574,98986.0,74429.04167,24556.95,33.01211667,2018-01-09 20:00:00,서울,-4.9,0,0.6,59.0
61575,98986.0,71899.46667,27086.53333,37.67829167,2018-01-09 21:00:00,서울,-4.8,0,0.9,59.0
61576,99086.83333,71231.61667,27855.21667,39.10618333,2018-01-09 22:00:00,서울,-4.2,0,1.6,67.0
61577,99591.0,72537.30833,27053.69167,37.30455833,2018-01-09 23:00:00,서울,-4.9,0,0.7,80.0
61578,99591.0,69021.325,30569.675,44.31865833,2018-01-10 00:00:00,서울,-5.2,0.5,0.8,82.0
61579,99591.0,66577.35,33013.65,49.59390833,2018-01-10 01:00:00,서울,-5.6,0,1.7,75.0
61580,99573.58333,66318.40833,33255.175,50.14643333,2018-01-10 02:00:00,서울,-5.7,0,1.2,72.0
61581,99572.0,66578.74167,32993.25833,49.55605833,2018-01-10 03:00:00,서울,-6.1,0.3,1.1,70.0
61582,99572.0,67042.05833,32529.93333,48.52464167,2018-01-10 04:00:00,서울,-6.6,0,2.2,72.0
61583,99481.0,68536.9,30944.1,45.15826667,2018-01-10 05:00:00,서울,-7.3,0,1.6,75.0
61584,99299.0,71622.54167,27676.45833,38.68115,2018-01-10 06:00:00,서울,-7.7,0,1.1,74.0
61585,99299.0,74514.26667,24784.73333,33.28035833,2018-01-10 07:00:00,서울,-8.0,0,1.8,70.0
61586,99404.0,79986.3,19417.7,24.36643333,2018-01-10 08:00:00,서울,-7.9,0,2.6,67.0
61587,99439.0,83865.85,15573.15,18.57668333,2018-01-10 09:00:00,서울,-7.7,0,3.6,62.0
61588,99509.0,84858.85833,14650.14167,17.26455833,2018-01-10 10:00:00,서울,-6.9,0,3.2,53.0
61589,99509.0,83960.81667,15548.18333,18.5303,2018-01-10 11:00:00,서울,-6.4,0,4.5,49.0
61590,99509.0,78863.175,20645.83333,26.18678333,2018-01-10 12:00:00,서울,-5.6,0,4.5,44.0
61591,99509.0,81118.86667,18390.13333,22.68613333,2018-01-10 13:00:00,서울,-5.1,0,4.7,43.0
61592,99509.0,82155.16667,17353.84167,21.12353333,2018-01-10 14:00:00,서울,-5.3,0,5.3,37.0
61593,99297.25,82177.725,17119.525,20.8351,2018-01-10 15:00:00,서울,-5.3,0,4.8,33.0
61594,99146.0,83235.26667,15910.73333,19.11629167,2018-01-10 16:00:00,서울,-5.4,0,3.9,30.0
61595,99146.0,82259.1,16886.9,20.53123333,2018-01-10 17:00:00,서울,-6.5,0,4.0,34.0
61596,99146.0,80295.8,18850.20833,23.48649167,2018-01-10 18:00:00,서울,-7.8,0,4.5,32.0
61597,99146.0,77767.35833,21378.64167,27.501275,2018-01-10 19:00:00,서울,-8.5,0,2.9,35.0
61598,99146.0,75450.24167,23695.75833,31.41709167,2018-01-10 20:00:00,서울,-8.9,0,2.3,41.0
61599,99146.0,73499.94167,25646.05833,34.8975,2018-01-10 21:00:00,서울,-9.4,0,2.0,47.0
61600,99090.66667,72859.08333,26231.58333,36.004275,2018-01-10 22:00:00,서울,-9.7,0,2.8,51.0
61601,98980.0,74443.05,24536.95,32.97005,2018-01-10 23:00:00,서울,-10.2,0,3.3,53.0
61602,98980.0,71290.98333,27689.01667,38.86168333,2018-01-11 00:00:00,서울,-10.3,0,2.4,54.0
61603,98980.0,69078.91667,29901.075,43.28948333,2018-01-11 01:00:00,서울,-10.6,0,2.9,55.0
61604,98980.0,68794.41667,30185.59167,43.87965833,2018-01-11 02:00:00,서울,-10.9,0,2.7,57.0
61605,98980.0,69121.25,29858.75,43.19845,2018-01-11 03:00:00,서울,-11.2,0,2.9,59.0
61606,98980.0,69411.0,29569.0,42.602125,2018-01-11 04:00:00,서울,-11.5,0,2.3,57.0
61607,98919.33333,70469.05833,28450.275,40.37885833,2018-01-11 05:00:00,서울,-11.9,0,1.8,61.0
