,year,month,기온(°C),풍속(m/s),습도(%)
84,2018,1,-1.868590324590721,2.230319073638912,59.32881843156136
85,2018,2,-0.1345674561499757,2.3390971666901863,51.610769809428284
86,2018,3,7.982065402038505,2.3129175221238936,68.44600962900029
87,2018,4,13.128981054787506,2.4201656932917635,64.10931539733888
88,2018,5,17.592252813362588,2.148755201454277,72.5505456764543
89,2018,6,21.910806104680937,1.8553215158745262,72.40924738737156
90,2018,7,26.53285900561256,1.8233953277387163,78.08739911776804
91,2018,8,27.043393901627272,2.010915537905113,76.93164842012833
92,2018,9,20.338614209185913,1.7522228913008357,77.33205021043216
93,2018,10,13.072229142485066,1.863414357593367,71.65620337735501
94,2018,11,8.169954658475941,1.4574534706777478,70.20135368747985
95,2018,12,1.4099503332342829,2.0780089216172204,59.97250074287897
