,year,month,현재수요(MW)
91,2020,1,66128.66080118279
92,2020,2,65773.90743517241
93,2020,3,60708.09063469086
94,2020,4,56861.16222970833
95,2020,5,54271.621578682796
96,2020,6,59128.70585738889
97,2020,7,61686.950224086024
98,2020,8,67522.65858368279
99,2020,9,60786.16123738889
100,2020,10,57087.50257208334
101,2020,11,61423.01537054167
102,2020,12,68476.3488172043
