,year,month,기온(°C),풍속(m/s),습도(%)
24,2013,1,-1.8241044296400188,2.1867772823624003,63.9458873889668
25,2013,2,0.7839281092273845,2.366823064975408,58.201769796974844
26,2013,3,6.560206601306234,2.5314228931332288,58.48584202682564
27,2013,4,10.157714199441383,2.814583805166765,60.133201479580286
28,2013,5,17.568830011106563,2.19547786433593,66.63988045654493
29,2013,6,22.255000830326544,1.700673319343589,75.96563542751883
30,2013,7,26.018941210880374,2.4065470786352323,81.16479723899914
31,2013,8,27.038115935666095,1.8341711042190885,77.86359422670735
32,2013,9,21.022009424842917,1.6720487974482623,76.46387130002726
33,2013,10,15.429670822365567,1.9799681805033267,71.83986877932912
34,2013,11,7.178410635596386,2.3709255247628294,66.47352185473993
35,2013,12,1.600104070305273,2.329296536170705,65.00936189291602
