,year,month,¹ßÀü·® 
0,2018,1,325276.4926
1,2018,2,434400.3373
2,2018,3,497476.231
3,2018,4,557708.4776
4,2018,5,527663.5717
5,2018,6,572873.1837
6,2018,7,598692.7425
7,2018,8,551835.283
8,2018,9,502084.893
9,2018,10,544940.38
10,2018,11,432600.9325
11,2018,12,377091.9769
