,year,month,기온(°C),풍속(m/s),습도(%)
0,2011,1,-4.61326242706256,2.6847552323518977,55.67910923997341
1,2011,2,1.8921095666394112,1.9672371758160845,64.58940801308258
2,2011,3,4.538666608171741,2.822598382591656,52.22378257436168
3,2011,4,11.064081718365632,2.668370026863566,59.273056038879226
4,2011,5,17.085991385540424,2.3967377793195155,66.78345185442141
5,2011,6,21.666376426309814,2.2149904414839594,73.77825970069001
6,2011,7,24.92251333882792,2.064797778163513,82.0850867553499
7,2011,8,24.95010703850493,1.9321520012729456,82.21031978006077
8,2011,9,20.930440756948904,1.9303242573148327,73.47911751072833
9,2011,10,13.814489548096105,1.7722788033099937,68.9206181692014
10,2011,11,11.015395988590033,1.986149733418958,70.79409190698786
11,2011,12,0.8701185142361613,2.2855660118247396,59.14948186902921
