,year,month,현재수요(MW)
79,2019,1,71010.34580665323
80,2019,2,66033.29681316964
81,2019,3,63049.15900526882
82,2019,4,60616.66979175
83,2019,5,58630.207897674736
84,2019,6,60125.351130138886
85,2019,7,66459.47162163978
86,2019,8,68792.23975848118
87,2019,9,61176.538319875
88,2019,10,58965.6281922043
89,2019,11,62061.145071680556
90,2019,12,67266.07784512098
