,year,month,¹ßÀü·® 
12,2019,1,480665.380516129
13,2019,2,547235.0287457983
14,2019,3,660080.943370019
15,2019,4,658779.4408607843
16,2019,5,844975.7660075901
17,2019,6,733492.4781215687
18,2019,7,607057.5535332068
19,2019,8,710842.7522239089
20,2019,9,558672.7279588236
21,2019,10,633591.0240284629
22,2019,11,545322.7814803922
23,2019,12,457887.5877476281
