,year,month,¹ßÀü·® 
24,2020,1,469499.666971537
25,2020,2,692068.1479492901
26,2020,3,960655.2082789374
27,2020,4,1121252.636690196
28,2020,5,944174.0340056926
29,2020,6,959772.7237078432
30,2020,7,703735.5012884251
31,2020,8,817809.1516280834
32,2020,9,831685.0680764705
33,2020,10,942540.8564629981
34,2020,11,708802.4675196079
35,2020,12,648056.5219696395
