,year,month,day,기온(°C),풍속(m/s),습도(%)
0,2011,1,1,-2.742957042957043,3.325050505050505,56.836163836163834
1,2011,1,2,-0.9072927072927074,2.1400805639476332,58.51348651348651
2,2011,1,3,-1.6405594405594406,2.168631368631369,64.76423576423576
3,2011,1,4,-0.6671328671328671,2.672927072927073,62.25474525474525
4,2011,1,5,0.6028971028971029,4.024375624375624,56.824175824175825
5,2011,1,6,-2.6554445554445554,3.67012987012987,53.3056943056943
6,2011,1,7,-3.2190809190809193,2.8045954045954047,45.599400599400596
7,2011,1,8,-0.9430569430569431,2.3545454545454545,56.947052947052946
8,2011,1,9,-1.3349650349650348,4.614185814185815,47.777222777222775
9,2011,1,10,-4.413886113886114,2.9303696303696305,41.71228771228771
10,2011,1,11,-2.1195804195804193,2.464235764235764,54.07592407592408
11,2011,1,12,-3.570829170829171,3.762137862137862,39.039160839160836
12,2011,1,13,-2.8985014985014987,2.0473526473526475,44.106893106893104
13,2011,1,14,-0.6283716283716284,2.1974025974025975,56.47242757242758
14,2011,1,15,-6.532567432567433,5.635764235764236,39.103896103896105
15,2011,1,16,-8.131568431568432,4.1680319680319675,47.36463536463536
16,2011,1,17,-4.506012024048096,3.2561122244488976,43.122244488977955
17,2011,1,18,-2.905805805805806,2.567967967967968,51.72542542542542
18,2011,1,19,-2.1464464464464466,2.975875875875876,46.66366366366366
19,2011,1,20,-3.2724275724275724,2.9803196803196803,45.63636363636363
20,2011,1,21,-2.602097902097902,2.817682317682318,42.30769230769231
21,2011,1,22,-0.7488511488511489,2.7210789210789215,50.91608391608391
22,2011,1,23,-0.37942057942057944,1.991008991008991,54.3072927072927
23,2011,1,24,-3.4824175824175825,3.8158841158841157,57.134665334665335
24,2011,1,25,-3.6828171828171827,2.819180819180819,53.5044955044955
25,2011,1,26,-3.4004995004995004,3.2987012987012987,47.74925074925075
26,2011,1,27,-3.798301698301698,3.3747252747252747,38.07692307692308
27,2011,1,28,-2.5676323676323674,2.6774225774225773,34.61538461538461
28,2011,1,29,-4.64005994005994,4.204495504495505,41.76823176823177
29,2011,1,30,-5.642457542457543,3.914085914085914,40.94205794205794
30,2011,1,31,-2.813986013986014,3.3485514485514485,44.989010989010985
31,2011,2,1,2.4903096903096906,2.0353646353646355,50.55544455544455
32,2011,2,2,4.464535464535465,2.103896103896104,46.38161838161838
33,2011,2,3,4.069130869130869,1.9658341658341658,48.345654345654346
34,2011,2,4,4.632667332667332,1.9536463536463535,53.094905094905094
35,2011,2,5,4.246853146853147,1.7467532467532467,50.785214785214784
36,2011,2,6,4.953946053946053,2.113986013986014,54.58041958041958
37,2011,2,7,4.1000000000000005,1.678921078921079,52.79320679320679
38,2011,2,8,3.8871128871128873,1.4767232767232767,72.05794205794206
39,2011,2,9,2.7610389610389614,3.5053946053946055,52.192807192807194
40,2011,2,10,0.33606393606393603,1.8073926073926074,57.70629370629371
41,2011,2,11,0.8555444555444556,3.198501498501498,59.44855144855145
42,2011,2,12,-2.1766233766233767,4.131568431568431,49.417582417582416
43,2011,2,13,-1.7864135864135864,1.8759240759240758,47.05094905094905
44,2011,2,14,-1.2878121878121878,3.04005994005994,67.54345654345654
45,2011,2,15,1.3204795204795203,2.1035964035964034,53.989010989010985
46,2011,2,16,3.0566433566433564,1.5473526473526475,54.77622377622377
47,2011,2,17,2.655044955044955,2.4347389558232932,81.17082917082917
48,2011,2,18,3.9014985014985015,1.9966033966033965,57.18081918081918
49,2011,2,19,5.28931068931069,2.085714285714286,48.46853146853147
50,2011,2,20,7.138161838161838,2.58001998001998,46.116883116883116
51,2011,2,21,7.328371628371628,2.3667332667332666,47.71928071928072
52,2011,2,22,7.572627372627372,1.8784215784215783,52.83526473526474
