,year,month,기온(°C),풍속(m/s),습도(%)
0,2011,1,-2.8512409747292415,3.1532365747460087,48.973317431665805
1,2011,2,4.188425033897095,2.3493236249419995,56.05523799329195
2,2011,3,6.952475752935171,3.510298950323836,42.59303215926493
3,2011,4,13.82855038785062,3.3317559601781506,49.21532091774948
4,2011,5,19.48850835698518,2.9799463891516873,57.98465468306527
5,2011,6,23.893215146972558,2.6854852375676206,64.84503976013558
6,2011,7,26.46153724797274,2.478275143632805,76.06802864895565
7,2011,8,26.580546258288603,2.3385353838380647,75.30981395495752
8,2011,9,23.34704444734098,2.4084495568300315,63.248024147495514
9,2011,10,16.657833149345528,2.161321886244555,57.53069110178848
10,2011,11,12.81426523297491,2.3205506679700227,63.89065493646139
11,2011,12,2.4662041562864623,2.6775362776025236,52.09883955600403
12,2012,1,0.7007915234461227,2.6369060006937217,51.847869958692016
13,2012,2,1.1798557270949908,2.883131960850489,47.16539809883368
14,2012,3,7.574984227129337,3.2144673333543645,53.562791654794694
15,2012,4,15.002769722050246,3.4968880344108446,50.813707052441224
16,2012,5,21.064289320878565,2.5423648584682383,52.478719106088825
17,2012,6,24.125118962258004,2.5481891971183623,62.36275308923739
18,2012,7,27.033415123801024,2.3463112272538957,73.15409496494583
19,2012,8,27.95606799987242,2.788102227043584,72.18820452298172
20,2012,9,22.265786785302357,2.287233060901661,68.40819904432361
21,2012,10,17.314990754319965,2.3690971115220303,56.67744744648952
22,2012,11,8.693300395256916,2.87030303030303,54.87312252964427
23,2012,12,0.048254535020881825,2.6346757222115937,60.125361048235405
24,2013,1,-0.0010805814101746774,2.527112103332802,57.640316205533594
25,2013,2,2.5416510782479795,2.798150435918252,50.91674019694349
26,2013,3,9.144407957661162,3.085538942200402,48.11811776708005
27,2013,4,12.68934277713721,3.5300079072219295,51.26250370614397
28,2013,5,20.538002168090806,2.7079891564343805,55.88783279660747
29,2013,6,24.515737812911727,2.157686353305445,66.61359069798083
30,2013,7,27.520562805092045,2.870021084914702,74.97999553329292
31,2013,8,29.292389465283318,2.3749792584083225,68.19752632084227
32,2013,9,23.36540807914262,2.0942755273843714,66.65989881286994
33,2013,10,18.119131010980688,2.3909185573191127,60.82927831142568
34,2013,11,9.228067259751686,2.8321611315712283,57.113246414602344
35,2013,12,3.306585088936546,2.659586815959628,58.22030490499337
36,2014,1,2.708419791239633,2.4807121006654262,51.15654648956357
37,2014,2,4.509915162517893,2.5157111933524194,55.7510925899986
38,2014,3,9.877567115681883,2.9932331776290875,53.009187346088275
39,2014,4,16.11219647338744,2.7133878801708122,49.35931097481404
40,2014,5,21.34098663411275,3.09645965066049,48.03837485914611
41,2014,6,23.663249241886575,2.4264683103136697,65.22731055840511
42,2014,7,26.629421678474458,2.3889388264669167,70.48110663795525
43,2014,8,25.14710287372461,2.3150951638065522,76.37108580343214
44,2014,9,23.26906105860723,2.054504693396987,66.09553029324377
45,2014,10,17.613389708865107,2.352511700468019,60.98956565152272
46,2014,11,11.131715022566086,2.2297485493230176,60.78523987619293
47,2014,12,1.2669299697149459,3.008862380164257,54.42411670487736
48,2015,1,2.3416154494119117,2.6978995006242195,56.32870055429579
49,2015,2,3.8682522123893808,2.962216076058773,53.34649257373963
50,2015,3,9.534111405835542,2.970971667498752,43.56751821393953
51,2015,4,15.029416508079864,2.849656484856304,57.546262300371026
52,2015,5,21.50764116490308,2.7820327131976526,48.70469115765162
53,2015,6,23.664026134442853,2.423584108199493,62.64847046584962
