,year,month,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트)
2896,2020,5,6,55918.71464646464,90849.30176767678,63.46931445707071
2897,2020,5,7,57295.137152777774,89690.78263888888,57.02940277777778
2898,2020,5,8,56936.61944444445,90029.21909722222,58.62577881944444
2899,2020,5,9,53434.81041666667,87140.0423611111,63.188747569444445
2900,2020,5,10,49987.33368055555,87356.57638888889,75.10196875
2901,2020,5,11,55490.23589015152,87383.31616161617,58.77622035984848
2902,2020,5,12,57408.91458333333,87877.93090277778,53.62035624999999
2903,2020,5,13,56801.75069444444,88219.42604166667,55.662061111111115
2904,2020,5,14,57544.66701388889,88162.83159722223,53.70964930555556
2905,2020,5,15,58988.420517676765,88317.79851641414,50.68467837752525
2906,2020,5,16,52263.890625,86760.25868055555,66.06159097222222
2907,2020,5,17,49173.13576388889,88289.73472222222,80.0863548611111
2908,2020,5,18,57377.98229166667,89478.33402777778,57.79173645833333
2909,2020,5,19,58382.963541666664,91838.05069444445,58.07092118055556
2910,2020,5,20,56931.427777777775,91828.21215277776,61.82852326388889
2911,2020,5,21,56519.456249999996,91368.75555555556,62.16480347222222
2912,2020,5,22,56332.55868055555,91957.68576388888,63.84325555555555
2913,2020,5,23,50893.94861111111,93092.31354166666,83.10835625
2914,2020,5,24,49424.68645833334,95346.49409722222,93.30538229166666
2915,2020,5,25,56485.399305555555,95630.83680555555,71.06389965277778
2916,2020,5,26,57736.307291666664,95306.29583333334,65.95970208333334
2917,2020,5,27,56661.55520833333,94161.87916666667,66.89418472222222
2918,2020,5,28,56874.42638888889,94646.2625,67.10506041666666
2919,2020,5,29,56435.954513888886,94369.37222222221,67.94812881944445
2920,2020,5,30,50942.537847222215,93128.23229166667,83.06741979166667
2921,2020,5,31,48480.96319444445,92680.31493055557,91.868528125
2922,2020,6,1,55766.28680555555,92695.63055555556,68.248009375
2923,2020,6,2,58171.94930555556,93674.421875,62.133696875
2924,2020,6,3,59542.10729166667,93344.96006944444,58.06320173611112
2925,2020,6,4,60399.86982323232,91921.1336489899,53.57339217171717
2926,2020,6,5,59989.82673611111,91455.109375,53.54508125
2927,2020,6,6,53307.71805555556,90661.25555555556,70.48306597222222
2928,2020,6,7,49930.57013888889,92746.56874999999,86.53943854166666
2929,2020,6,8,59944.04340277778,93260.55277777778,58.734311805555556
2930,2020,6,9,63205.65,91503.47881944444,46.89324722222222
2931,2020,6,10,64096.88506944445,92641.78715277778,46.733621875000004
2932,2020,6,11,63865.871875000004,91706.06493055557,45.53535625
2933,2020,6,12,63445.79756944444,91280.22881944444,45.81033784722222
2934,2020,6,13,56713.986805555556,88422.98298611112,56.64769652777778
2935,2020,6,14,52802.52916666667,88844.26319444446,68.76227395833332
2936,2020,6,15,59407.40625,90394.45000000001,54.867645833333334
2937,2020,6,16,61566.571875,89394.06076388889,46.739272569444445
2938,2020,6,17,62572.76736111112,88943.22881944444,44.01307361111111
2939,2020,6,18,61786.22013888889,87528.64756944444,43.17288333333334
2940,2020,6,19,60373.74444444445,88774.02187499999,48.183721875
2941,2020,6,20,54340.503124999996,87883.89340277779,62.00343090277778
2942,2020,6,21,51482.178819444445,90756.50173611112,77.34045833333333
2943,2020,6,22,62038.006944444445,93342.90937499999,54.25421145833334
2944,2020,6,23,64274.669444444444,92862.575,46.72225034722222
2945,2020,6,24,63368.95729166667,94209.40520833334,50.349103819444444
2946,2020,6,25,62907.39409722222,93074.76666666666,49.767974305555555
2947,2020,6,26,60424.35798611111,94064.27569444444,56.83057708333334
2948,2020,6,27,54579.44131944444,90942.18472222221,67.12433159722222
2949,2020,6,28,51612.22083333333,92403.86145833333,79.75295555555556
2950,2020,6,29,61092.68263888889,94150.65104166667,57.739585069444445
2951,2020,6,30,60850.96111111111,95318.34861111111,58.12321284722222
2952,2020,7,1,60179.2875,94098.71597222221,58.075831944444445
2953,2020,7,2,61891.82916666666,95397.59027777777,55.82675833333334
2954,2020,7,3,62327.932291666664,94707.93958333333,53.578127430555554
2955,2020,7,4,54705.555555555555,91388.51979166667,67.43246875
2956,2020,7,5,52534.95520833333,92703.70520833334,76.98406215277778
2957,2020,7,6,62463.59479166666,96768.21909722222,58.46571006944444
2958,2020,7,7,64519.34826388889,98250.81805555556,53.85699236111111
2959,2020,7,8,64728.299305555556,97910.60347222222,53.12796076388889
2960,2020,7,9,66035.278125,97551.71006944444,49.613024652777774
2961,2020,7,10,65457.31701388889,97863.74166666665,50.87666006944445
2962,2020,7,11,58111.09305555556,95851.50694444444,65.32503298611111
2963,2020,7,12,54189.06180555556,97547.98506944445,80.53225625
2964,2020,7,13,61121.60520833333,99870.29583333334,66.14994965277778
2965,2020,7,14,62048.19652777777,99417.92152777778,61.50507152777777
2966,2020,7,15,62369.17395833333,99754.82951388888,61.180910069444444
2967,2020,7,16,62969.75729166667,100058.37118055555,60.2198875
2968,2020,7,17,63291.83923611111,99231.86076388891,58.17676631944445
2969,2020,7,18,57126.309375000004,97101.94548611112,70.3355954861111
2970,2020,7,19,55225.423263888886,96333.22743055556,75.4314125
2971,2020,7,20,64798.47430555555,98010.63472222222,54.11160763888889
2972,2020,7,21,65581.82604166666,97850.14340277779,50.92691770833333
2973,2020,7,22,66320.03645833333,96477.40000000001,47.13327673611111
2974,2020,7,23,65257.352777777785,96417.80208333333,49.25839583333333
2975,2020,7,24,63238.493402777785,95837.4798611111,52.675189236111116
2976,2020,7,25,56883.61145833333,95909.46388888889,68.88506006944445
2977,2020,7,26,53825.831249999996,96013.27951388889,79.22881319444444
2978,2020,7,27,63358.4,96560.7298611111,55.56807673611112
2979,2020,7,28,65323.86770833333,96720.81006944443,49.70583576388889
2980,2020,7,29,66042.87118055555,97041.23645833334,48.59066909722222
2981,2020,7,30,65608.72847222222,97492.46354166667,50.15508784722223
2982,2020,7,31,64760.106944444444,97594.85104166665,52.15496354166667
2983,2020,8,1,58038.28541666667,96762.74583333333,67.376296875
2984,2020,8,2,56156.390625,97236.87361111112,74.11130416666667
2985,2020,8,3,61068.87152777778,98175.73576388888,63.09197013888889
2986,2020,8,4,63166.13229166667,98462.62222222223,58.079187152777784
2987,2020,8,5,64960.68055555556,98201.81423611111,53.48598055555556
2988,2020,8,6,65478.834722222215,97752.36736111112,51.47289618055555
2989,2020,8,7,64787.81423611112,97955.94687500001,53.37986597222223
2990,2020,8,8,60006.64097222222,97039.4486111111,62.85189861111112
2991,2020,8,9,58300.021875,97621.6875,68.44021111111111
2992,2020,8,10,68357.57118055555,97852.94305555556,47.328502083333326
2993,2020,8,11,70095.11458333333,97538.46215277778,41.342769097222224
2994,2020,8,12,71778.66111111111,97485.87534722222,38.18091180555556
2995,2020,8,13,72953.2,98139.87395833334,36.61375520833334
2996,2020,8,14,72583.38958333334,98519.43784722222,37.6403375
2997,2020,8,15,65139.20694444445,97367.84999999999,50.25710347222222
2998,2020,8,16,61143.12083333333,97750.78680555556,61.11043229166666
2999,2020,8,17,67736.64965277778,97606.86145833333,46.736796875
3000,2020,8,18,73563.52847222223,97982.8548611111,35.83107465277778
3001,2020,8,19,74030.34255050505,98886.65612373738,35.93349015151515
3002,2020,8,20,74599.57869318181,98517.81811868686,34.260391035353535
3003,2020,8,21,73624.19349747476,98712.18232323231,35.91369324494949
3004,2020,8,22,64808.119318181816,96178.13390151516,48.94139898989899
3005,2020,8,23,59873.07279040405,95610.4658459596,60.65816764520202
3006,2020,8,24,71201.82256944444,96902.33437499999,39.58634826388889
3007,2020,8,25,75747.70104166666,97843.78958333335,31.680918263888888
3008,2020,8,26,76442.77256944445,97441.94826388889,29.885193923611112
3009,2020,8,27,74120.41666666667,97885.215625,34.18264722222222
3010,2020,8,28,74381.33049242424,97730.98882575758,33.46703491161616
3011,2020,8,29,66821.75624999999,94973.58645833335,43.06923576388889
3012,2020,8,30,62246.796111111114,95774.93527777778,54.910034027777776
3013,2020,8,31,69990.39895833333,97329.34409722222,42.20926736111111
3014,2020,9,1,70758.58705808081,96478.2319760101,38.367465214646465
3015,2020,9,2,71160.41805555555,96164.92326388888,37.020648611111106
3016,2020,9,3,65912.64037247475,92652.4087121212,41.99505700757576
3017,2020,9,4,65000.89485479798,91720.7647411616,42.24991442550505
3018,2020,9,5,58754.62569444444,88121.29722222222,50.33907013888889
3019,2020,9,6,54370.77976641414,90707.63768939395,67.27804965277778
3020,2020,9,7,61636.95618686869,91482.25220959594,50.9093055239899
3021,2020,9,8,64773.23863636364,90250.14444444445,40.61343428030303
3022,2020,9,9,64490.96145833333,89902.79097222222,40.36994409722222
3023,2020,9,10,64956.89166666666,89304.96527777777,38.680645138888885
3024,2020,9,11,65302.77569444445,89000.18854166666,37.60035
3025,2020,9,12,57935.584027777775,86159.68194444444,48.91872708333333
3026,2020,9,13,53240.334722222215,84672.9361111111,59.382575
3027,2020,9,14,61828.30520833333,87828.59618055554,44.23934270833333
3028,2020,9,15,64319.0,86982.44930555556,36.28520069444445
3029,2020,9,16,65774.47152777777,87104.27430555556,33.62381215277778
3030,2020,9,17,65140.33472222223,87606.43784722222,35.58697881944445
3031,2020,9,18,62876.525,89097.25277777779,42.43739618055556
3032,2020,9,19,56079.61319444444,84870.80833333333,51.50871736111111
3033,2020,9,20,51799.24131944444,84981.07743055555,64.62659965277778
3034,2020,9,21,59167.57604166667,85473.97638888888,46.16744548611111
3035,2020,9,22,61529.383680555555,85444.88541666667,39.69942361111111
3036,2020,9,23,61801.09027777778,85927.37604166666,39.851714236111114
3037,2020,9,24,62106.51284722222,85158.32326388889,37.91494618055555
3038,2020,9,25,61686.42531565656,83796.17474747474,36.581547853535355
3039,2020,9,26,55571.770833333336,82651.30555555555,48.90511354166667
3040,2020,9,27,52040.19131944444,84361.18194444444,62.65294652777778
3041,2020,9,28,58231.06805555555,86722.11736111112,50.26713576388889
3042,2020,9,29,57169.484375,85935.74583333333,50.6447375
3043,2020,9,30,48169.15520833334,83455.54166666667,73.56842222222222
3044,2020,10,1,44034.42291666666,82702.109375,88.61811666666667
3045,2020,10,2,45665.33541666667,83465.12013888889,83.66261319444445
3046,2020,10,3,47953.696527777785,83389.00347222222,74.5886392361111
3047,2020,10,4,49625.98541666666,84216.41249999999,70.55885347222222
3048,2020,10,5,56249.996875000004,83505.90277777777,50.06552013888889
3049,2020,10,6,59299.00625,83676.159375,41.78925243055556
3050,2020,10,7,60044.562026515145,83562.48304924242,39.75481474116162
3051,2020,10,8,60040.78333333333,84371.65347222223,40.89393020833334
3052,2020,10,9,57062.70520833333,84744.89027777778,48.86654965277777
3053,2020,10,10,53590.01145833333,85069.72847222222,58.985000694444444
3054,2020,10,11,51655.67534722222,85942.23784722222,66.86558333333333
3055,2020,10,12,58986.381597222215,87040.41215277778,49.00945798611111
3056,2020,10,13,60961.82430555556,88025.89618055556,45.119734722222226
3057,2020,10,14,61642.46111111111,87664.98854166667,42.822238194444445
3058,2020,10,15,61002.12986111111,87843.52500000001,44.552855208333334
3059,2020,10,16,62560.76006944445,88164.64861111112,41.65393576388889
3060,2020,10,17,55571.73993055555,86629.74375000001,56.11762638888889
3061,2020,10,18,51861.26527777778,85634.94305555556,65.75885243055555
3062,2020,10,19,59204.57916666666,85696.24409722222,46.186018749999995
3063,2020,10,20,60996.73506944444,86736.78611111111,42.731581597222224
3064,2020,10,21,63022.69027777778,86310.32604166666,37.764149652777775
3065,2020,10,22,62570.540972222225,86470.93020833333,38.76321006944445
3066,2020,10,23,60796.197222222225,88861.81180555555,46.63754479166667
3067,2020,10,24,55764.32847222222,88904.5201388889,59.70896041666666
3068,2020,10,25,52225.71909722222,87403.40694444445,67.99030902777777
3069,2020,10,26,59499.41736111111,86887.46180555556,47.32511284722222
3070,2020,10,27,61358.946874999994,84759.9329861111,38.887978125
3071,2020,10,28,61068.60173611111,84171.59930555556,38.42442673611111
3072,2020,10,29,60766.139236111114,85570.89791666667,41.38521597222222
3073,2020,10,30,60243.65694444444,86846.68958333334,44.65149791666667
3074,2020,10,31,54386.284374999996,84131.91388888888,54.896487847222225
3075,2020,11,1,52606.39340277778,81214.86180555556,54.705477083333335
3076,2020,11,2,59318.80451388889,83933.30486111112,42.954813888888886
3077,2020,11,3,62543.63784722222,84825.00694444445,36.40031111111111
3078,2020,11,4,63423.060069444444,84934.89861111112,34.43350902777778
3079,2020,11,5,63550.05173611111,85579.71944444445,35.17543020833333
3080,2020,11,6,63635.996875000004,86047.65347222223,36.04213263888889
3081,2020,11,7,55891.84236111111,86481.25833333333,54.88061284722222
3082,2020,11,8,52098.48090277778,87731.68993055554,69.05012083333334
3083,2020,11,9,61487.61215277778,88082.10416666667,45.029496180555554
3084,2020,11,10,63155.95138888888,87007.93020833333,38.33655347222222
3085,2020,11,11,63089.11736111111,86463.80902777778,37.55146215277778
3086,2020,11,12,62884.803125,87049.65590277778,38.96284236111111
3087,2020,11,13,62574.762500000004,87212.94895833333,39.87780625
3088,2020,11,14,56289.67673611111,86323.75763888888,53.56802465277778
3089,2020,11,15,52679.34236111111,85563.265625,62.947611458333334
3090,2020,11,16,61105.356250000004,84536.75138888888,39.98831423611111
3091,2020,11,17,63623.07083333333,86506.82222222222,36.721131944444444
3092,2020,11,18,63450.27013888889,87112.20798611111,38.10911701388889
3093,2020,11,19,64507.67291666666,87576.30208333333,36.91274270833333
3094,2020,11,20,65496.40729166666,88297.70972222222,35.84556423611111
3095,2020,11,21,57907.32048611111,88652.20416666666,53.281298263888885
3096,2020,11,22,55293.260416666664,88844.10138888888,60.90146909722222
3097,2020,11,23,64530.32916666666,91412.42048611112,43.57772569444444
3098,2020,11,24,67106.7357638889,91239.22222222223,36.78751875
3099,2020,11,25,66302.21666666666,92919.1295138889,40.71923888888889
3100,2020,11,26,66537.74166666667,93173.11840277776,40.83014965277778
3101,2020,11,27,66931.83437499999,94499.03645833333,42.15095069444444
3102,2020,11,28,60324.64236111112,93412.65694444445,55.07406666666666
3103,2020,11,29,57194.92534722222,92068.36493055556,61.301112499999995
3104,2020,11,30,67149.14409722222,95806.07152777778,44.40996527777778
3105,2020,12,1,68889.63715277778,90003.50486111111,31.3979875
3106,2020,12,2,69160.3625,90050.76805555557,31.024752083333336
3107,2020,12,3,69303.44965277778,90270.715625,31.01741909722222
3108,2020,12,4,69660.68194444444,90252.94479166665,30.270917361111113
3109,2020,12,5,61924.865625,88607.02152777778,43.205192708333335
3110,2020,12,6,57376.20520833333,87833.66597222222,53.45003715277778
3111,2020,12,7,68855.17534722222,89647.45486111111,32.22457083333333
3112,2020,12,8,70662.21180555556,91076.67222222222,29.715622916666664
3113,2020,12,9,70429.69687500001,92414.24826388889,31.90810104166667
3114,2020,12,10,70330.61423611111,92112.13958333334,32.007753819444446
3115,2020,12,11,69066.07777777778,92115.13645833333,34.21936631944444
3116,2020,12,12,61101.80034722222,90360.565625,48.0723625
3117,2020,12,13,59272.01180555555,90298.52256944444,52.61348715277777
3118,2020,12,14,72813.38055555556,95525.03611111111,33.17317465277778
3119,2020,12,15,75652.25624999999,97109.44131944445,29.309764930555556
3120,2020,12,16,76118.16319444445,97323.91770833333,28.724475694444447
3121,2020,12,17,75394.56041666666,97365.98020833333,29.912540277777776
3122,2020,12,18,74231.65138888889,96856.88958333334,31.36456076388889
3123,2020,12,19,66055.07118055555,94413.56388888888,43.09025902777778
3124,2020,12,20,61566.74861111111,92088.25243055554,49.894528125
3125,2020,12,21,72512.96180555555,95313.87777777779,32.990772222222226
3126,2020,12,22,73233.98506944445,95133.41111111111,30.70373576388889
3127,2020,12,23,72384.8638888889,95605.11284722223,32.82465486111111
3128,2020,12,24,69269.23402777778,95189.60972222222,37.969633333333334
3129,2020,12,25,63614.643055555556,94584.47118055554,48.84068923611111
3130,2020,12,26,60527.143749999996,92453.37222222223,52.874128819444444
3131,2020,12,27,58643.50138888889,92201.81215277778,57.37744756944445
3132,2020,12,28,67117.76284722223,95907.72951388889,44.19339444444444
3133,2020,12,29,71082.09458333334,97907.43986111111,38.78291902777777
3134,2020,12,30,75020.24097222222,98855.96388888889,32.94626875
3135,2020,12,31,71495.76006944444,98721.27604166667,38.683622569444445
3136,2021,1,1,60848.493055555555,97299.64687499999,60.086868055555556
3137,2021,1,2,60453.35505050505,96033.04816919193,59.073893371212115
3138,2021,1,3,60838.49826388888,95801.796875,57.83181770833334
3139,2021,1,4,73300.77534722222,96247.81874999999,32.840272569444444
3140,2021,1,5,75636.41979166666,97545.30208333333,29.94261909722222
3141,2021,1,6,76671.75034722222,97867.55902777777,28.48136701388889
3142,2021,1,7,80155.76076388889,98976.35902777778,24.87046243055556
3143,2021,1,8,80801.70208333334,98578.20157828282,22.948464608585855
3144,2021,1,9,71563.17152777778,92745.5,29.694344444444443
3145,2021,1,10,66441.97686237373,92287.00372474747,39.04555735479798
3146,2021,1,11,78944.27256944445,97149.74444444444,24.81969666666667
3147,2021,1,12,78599.42001262626,98673.57190656564,26.29273721590909
3148,2021,1,13,74504.10625,96886.221875,30.588759375
3149,2021,1,14,72294.02951388889,98057.60347222222,36.27163958333333
3150,2021,1,15,71565.56041666666,97043.0972222222,36.34132951388889
3151,2021,1,16,65843.74236111112,95067.17673611111,44.51631875
3152,2021,1,17,62765.153125000004,94849.35138888888,51.471826736111105
3153,2021,1,18,75490.08715277778,100537.20277777778,34.881594444444445
3154,2021,1,19,76759.58125,101349.14236111111,32.58826284722222
3155,2021,1,20,74642.61006944445,99801.66354166665,34.029617361111114
3156,2021,1,21,73478.57048611112,98394.13368055556,34.70044201388889
3157,2021,1,22,71299.87361111112,97003.85069444444,36.958435763888886
3158,2021,1,23,62920.77743055555,93939.84305555555,49.41044652777777
3159,2021,1,24,57656.66821338384,93995.52736742423,63.267312784090905
3160,2021,1,25,66724.82152777778,98661.00868055556,49.0219611111111
3161,2021,1,26,70930.57638888889,98764.32998737373,40.490910037878784
3162,2021,1,27,69642.51319444444,98933.83055555557,42.645284374999996
3163,2021,1,28,73403.16111111111,98746.20590277779,35.34186631944444
3164,2021,1,29,75332.06493055556,99990.33437499999,33.290928819444446
