,斥档,矫焙备,Unnamed: 2,拌距备盒,绊按荐,荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
66,202102,堡林堡开矫,合备,丑荤侩,"2,082 ","2,274,150 ","102,641,054 ",45.1 
62,202102,堡林堡开矫,悼备,林琶侩,"42,274 ","14,844,779 ","1,657,012,304 ",111.6 
64,202102,堡林堡开矫,合备,啊肺殿,"12,385 ","1,764,200 ","187,622,175 ",106.3 
63,202102,堡林堡开矫,悼备,钦拌,"61,128 ","55,690,909 ","6,810,064,927 ",122.3 
69,202102,堡林堡开矫,合备,老馆侩,"27,513 ","65,393,073 ","8,558,338,203 ",130.9 
65,202102,堡林堡开矫,合备,背腊侩,193 ,"11,806,593 ","1,188,640,929 ",100.7 
70,202102,堡林堡开矫,合备,林琶侩,"125,989 ","56,303,793 ","5,976,734,492 ",106.2 
79,202102,堡林堡开矫,辑备,钦拌,"107,324 ","140,026,262 ","17,052,707,239 ",121.8 
72,202102,堡林堡开矫,辑备,啊肺殿,"8,648 ","1,135,540 ","123,973,540 ",109.2 
73,202102,堡林堡开矫,辑备,背腊侩,106 ,"1,791,633 ","203,093,485 ",113.4 
74,202102,堡林堡开矫,辑备,丑荤侩,"1,081 ","636,676 ","29,936,822 ",47 
75,202102,堡林堡开矫,辑备,魂诀侩,682 ,"24,658,267 ","3,004,669,212 ",121.9 
76,202102,堡林堡开矫,辑备,缴 具,772 ,"2,091,206 ","153,600,573 ",73.5 
77,202102,堡林堡开矫,辑备,老馆侩,"19,615 ","69,143,417 ","9,110,454,848 ",131.8 
78,202102,堡林堡开矫,辑备,林琶侩,"76,420 ","40,569,523 ","4,426,978,759 ",109.1 
61,202102,堡林堡开矫,悼备,老馆侩,"11,552 ","32,050,257 ","4,251,224,363 ",132.6 
71,202102,堡林堡开矫,合备,钦拌,"171,337 ","197,545,185 ","22,871,677,573 ",115.8 
60,202102,堡林堡开矫,悼备,缴 具,942 ,"1,582,376 ","114,140,571 ",72.1 
49,202102,堡林堡开矫,巢备,背腊侩,104 ,"2,708,946 ","292,656,763 ",108 
58,202102,堡林堡开矫,悼备,丑荤侩,345 ,"110,716 ","5,306,977 ",47.9 
59,202102,堡林堡开矫,悼备,魂诀侩,436 ,"2,730,566 ","351,739,828 ",128.8 
41,202102,堡林堡开矫,堡魂备,背腊侩,169 ,"4,936,618 ","539,432,107 ",109.3 
42,202102,堡林堡开矫,堡魂备,丑荤侩,"6,146 ","5,549,436 ","248,842,853 ",44.8 
43,202102,堡林堡开矫,堡魂备,魂诀侩,"3,230 ","167,987,616 ","20,747,819,265 ",123.5 
44,202102,堡林堡开矫,堡魂备,缴 具,"1,307 ","3,055,364 ","212,635,639 ",69.6 
45,202102,堡林堡开矫,堡魂备,老馆侩,"23,679 ","69,014,764 ","8,984,285,885 ",130.2 
46,202102,堡林堡开矫,堡魂备,林琶侩,"85,174 ","54,301,590 ","5,888,347,589 ",108.4 
47,202102,堡林堡开矫,堡魂备,钦拌,"132,589 ","307,322,011 ","36,895,864,528 ",120.1 
48,202102,堡林堡开矫,巢备,啊肺殿,"8,655 ","1,123,383 ","119,381,173 ",106.3 
40,202102,堡林堡开矫,堡魂备,啊肺殿,"12,884 ","2,476,623 ","274,501,190 ",110.8 
50,202102,堡林堡开矫,巢备,丑荤侩,"2,369 ","1,063,675 ","51,496,438 ",48.4 
51,202102,堡林堡开矫,巢备,魂诀侩,470 ,"3,149,202 ","439,440,085 ",139.5 
52,202102,堡林堡开矫,巢备,缴 具,"1,094 ","2,377,606 ","164,776,150 ",69.3 
53,202102,堡林堡开矫,巢备,老馆侩,"11,737 ","27,296,786 ","3,645,899,582 ",133.6 
54,202102,堡林堡开矫,巢备,林琶侩,"56,771 ","28,923,442 ","3,260,073,940 ",112.7 
55,202102,堡林堡开矫,巢备,钦拌,"81,200 ","66,643,040 ","7,973,724,131 ",119.6 
56,202102,堡林堡开矫,悼备,啊肺殿,"5,522 ","822,730 ","85,253,521 ",103.6 
57,202102,堡林堡开矫,悼备,背腊侩,57 ,"3,549,485 ","345,387,363 ",97.3 
102,202103,堡林堡开矫,悼备,林琶侩,"42,296 ","13,199,891 ","1,351,878,848 ",102.4 
103,202103,堡林堡开矫,悼备,钦拌,"61,162 ","48,563,571 ","5,519,993,104 ",113.7 
104,202103,堡林堡开矫,合备,啊肺殿,"12,389 ","1,591,423 ","171,386,926 ",107.7 
105,202103,堡林堡开矫,合备,背腊侩,192 ,"11,216,746 ","1,006,066,895 ",89.7 
106,202103,堡林堡开矫,合备,丑荤侩,"2,784 ","1,662,977 ","78,254,193 ",47.1 
107,202103,堡林堡开矫,合备,魂诀侩,"1,605 ","58,321,085 ","5,670,170,068 ",97.2 
108,202103,堡林堡开矫,合备,缴 具,"1,558 ","2,837,442 ","185,603,803 ",65.4 
110,202103,堡林堡开矫,合备,林琶侩,"125,902 ","49,372,711 ","4,776,655,081 ",96.7 
114,202103,堡林堡开矫,辑备,丑荤侩,"1,616 ","503,382 ","24,609,770 ",48.9 
112,202103,堡林堡开矫,辑备,啊肺殿,"8,649 ","1,034,442 ","114,476,343 ",110.7 
113,202103,堡林堡开矫,辑备,背腊侩,106 ,"1,736,928 ","201,713,151 ",116.1 
