,year,month,현재수요(MW)
0,2012,6,55649.907122708326
1,2012,7,58375.807957029574
2,2012,8,59491.12602481183
3,2012,9,54226.44174070833
4,2012,10,53218.530660940865
5,2012,11,58920.92127193055
6,2012,12,64414.2186716129
