,¹ßÀü·®,year,month,day
0,17322.238512254902,2018,1,1
1,12127.505051470587,2018,1,2
2,17848.95650490196,2018,1,3
3,11203.583678921568,2018,1,4
4,13427.599269607845,2018,1,5
5,19465.279664215686,2018,1,6
6,5612.067946078431,2018,1,7
7,3466.019257352941,2018,1,8
8,9854.12049019608,2018,1,9
9,7269.711723039215,2018,1,10
10,8173.746632352942,2018,1,11
11,10455.817367647058,2018,1,12
12,10619.152036764704,2018,1,13
13,14061.673647058824,2018,1,14
14,17039.395674019608,2018,1,15
15,3242.999504901961,2018,1,16
16,8934.434227941176,2018,1,17
17,11428.484426470588,2018,1,18
18,18574.547419117647,2018,1,19
19,15848.948401960784,2018,1,20
20,15619.633465686275,2018,1,21
21,10179.119654411765,2018,1,22
22,16153.511227941177,2018,1,23
23,17748.982355392156,2018,1,24
24,17395.280740196078,2018,1,25
25,18968.94218872549,2018,1,26
26,22160.825960784314,2018,1,27
27,18497.158963235295,2018,1,28
28,18017.196980392157,2018,1,29
29,18761.818573529414,2018,1,30
30,10670.051333333333,2018,1,31
31,23768.302644607844,2018,2,1
32,18395.78887254902,2018,2,2
33,17711.163605392157,2018,2,3
34,17695.257919117645,2018,2,4
35,17507.948732843135,2018,2,5
36,17578.39306617647,2018,2,6
37,21061.859249999998,2018,2,7
38,21207.212593137254,2018,2,8
39,15156.779975490197,2018,2,9
40,13736.273325980392,2018,2,10
41,16644.984218137255,2018,2,11
42,13302.75488480392,2018,2,12
43,23748.332892156865,2018,2,13
44,15509.367487745098,2018,2,14
45,19382.55218137255,2018,2,15
46,17515.613100490194,2018,2,16
47,27348.667892156864,2018,2,17
48,14187.712330882354,2018,2,18
49,14136.112230392157,2018,2,19
50,19144.842585784314,2018,2,20
51,17186.625029411764,2018,2,21
52,22979.013943627448,2018,2,22
53,16057.885071078432,2018,2,23
54,19277.08689460784,2018,2,24
55,18979.922019607842,2018,2,25
56,27544.222828431375,2018,2,26
57,18241.505220588235,2018,2,27
58,1794.2127475490195,2018,2,28
59,24381.836872549018,2018,3,1
60,29244.499985294115,2018,3,2
61,22154.707862745097,2018,3,3
62,11421.103955882352,2018,3,4
63,7686.028519607843,2018,3,5
64,28668.082921568628,2018,3,6
65,9497.860450980392,2018,3,7
66,8085.318561274509,2018,3,8
67,18610.41030637255,2018,3,9
68,27783.066362745096,2018,3,10
69,26517.07929901961,2018,3,11
70,26341.227397058825,2018,3,12
71,26484.79012009804,2018,3,13
72,26124.181531862745,2018,3,14
73,2051.7923897058827,2018,3,15
74,15263.625465686275,2018,3,16
75,29717.58756617647,2018,3,17
76,9252.340335784313,2018,3,18
77,3812.995568627451,2018,3,19
78,14817.914080882354,2018,3,20
79,5517.803664215687,2018,3,21
80,29233.606286764705,2018,3,22
81,30485.344411764705,2018,3,23
82,24379.909357843135,2018,3,24
83,26412.576919117644,2018,3,25
84,27415.405892156865,2018,3,26
85,27846.291931372547,2018,3,27
86,28179.49248284314,2018,3,28
87,21189.324975490195,2018,3,29
88,26731.785669117646,2018,3,30
89,27265.473897058822,2018,3,31
90,15842.863355392157,2018,4,1
91,26981.4235122549,2018,4,2
92,23582.977085784314,2018,4,3
93,7802.740850490196,2018,4,4
94,4725.740725490196,2018,4,5
95,22348.95457598039,2018,4,6
96,25619.975156862743,2018,4,7
97,26492.73587990196,2018,4,8
98,30873.640428921568,2018,4,9
99,26603.417225490197,2018,4,10
100,30957.210732843138,2018,4,11
101,27006.177296568625,2018,4,12
102,15228.811970588235,2018,4,13
103,3504.5931200980394,2018,4,14
104,29142.973558823527,2018,4,15
105,29524.999098039214,2018,4,16
106,29480.137090686276,2018,4,17
107,33429.24208578431,2018,4,18
108,32562.064973039214,2018,4,19
109,31270.02814460784,2018,4,20
110,32057.92293137255,2018,4,21
111,9816.78856127451,2018,4,22
112,2699.027401960784,2018,4,23
113,8025.915556372548,2018,4,24
114,29771.634240196076,2018,4,25
115,27320.52460539216,2018,4,26
116,29681.52876960784,2018,4,27
117,32216.443578431372,2018,4,28
118,30527.36075490196,2018,4,29
119,22037.74368382353,2018,4,30
120,15212.157399509806,2018,5,1
121,6422.82881372549,2018,5,2
122,26509.702409313726,2018,5,3
123,35172.14734068627,2018,5,4
124,27842.518987745098,2018,5,5
125,3909.3340588235296,2018,5,6
126,13136.590137254901,2018,5,7
127,20804.819046568628,2018,5,8
128,26012.6337377451,2018,5,9
129,31677.73455147059,2018,5,10
130,29819.674897058827,2018,5,11
131,4711.974862745098,2018,5,12
132,23660.80156127451,2018,5,13
133,30088.511524509802,2018,5,14
134,25077.82086029412,2018,5,15
135,5652.801654411765,2018,5,16
